,Unnamed: 0,Number,Name,Country,Region,Type,Activity_Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant_Rock_Type,Tectonic_Setting,clean_Country,clean_Type,clean_Elevation,clean_Latitude
148,158,224030,Oku Volcanic Field,Cameroon,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,6.25,10.5,3011,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,1
149,161,225001,Todra Volcanic Field,Niger,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,17.68,8.5,1780,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
150,164,225004,Tahalra Volcanic Field,Algeria,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,22.67,5.0,1467,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
151,165,225005,Atakor Volcanic Field,Algeria,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,23.33,5.83,2918,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,2000m--3000m,1
152,166,225006,Manzaz Volcanic Field,Algeria,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,23.92,5.83,1672,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
153,168,225010,"Tousside, Tarso",Chad,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,21.03,16.45,3265,Trachyte / Trachydacite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,1
154,169,225020,"Voon, Tarso",Chad,Africa and Red Sea,Stratovolcano,Unrest / Holocene,Unknown,20.92,17.28,3100,Trachyte / Trachydacite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,1
155,170,225021,"Koussi, Emi",Chad,Africa and Red Sea,Pyroclastic shield,Evidence Credible,Unknown,19.8,18.53,3415,Trachyte / Trachydacite,Intraplate / Continental Crust (>25 km),Other country,Other type,3000m--4000m,1
156,171,225030,"Marra, Jebel",Sudan,Africa and Red Sea,Volcanic field,Eruption Dated,2000 BCE,12.95,24.27,3042,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,3000m--4000m,1
157,174,225060,Bayuda Volcanic Field,Sudan,Africa and Red Sea,Pyroclastic cone(s),Eruption Dated,850 CE,18.33,32.75,670,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
158,175,230010,Sharat Kovakab,Syria,Middle East and Indian Ocean,Volcanic field,Evidence Credible,Unknown,36.53,40.85,534,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
159,177,231001,Harrat Ash Shamah,Syria-Jordan-Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1850 CE,32.333,37.583,1100,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
160,178,231010,"Rahah, Harrat ar",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Evidence Credible,Unknown,27.8,36.17,1950,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
